aspect,label
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,negative
Industry,negative
Industry,negative
Industry,negative
Industry,negative
Industry,negative
Industry,negative
Industry,negative
Industry,negative
Industry,negative
Industry,negative
Industry,negative
Industry,negative
Industry,negative
Industry,negative
Industry,negative
Industry,negative
Industry,negative
Industry,negative
Industry,negative
Industry,negative
Industry,negative
Industry,negative
Industry,negative
Industry,negative
Industry,negative
Industry,negative
Industry,negative
Industry,negative
Industry,negative
Industry,negative
Industry,negative
Industry,negative
Industry,negative
Industry,negative
Industry,negative
Industry,negative
Industry,negative
Industry,negative
Industry,negative
Industry,negative
Industry,negative
Industry,negative
Industry,negative
Industry,negative
Industry,negative
Industry,negative
Industry,negative
Industry,negative
Industry,negative
Industry,negative
Industry,negative
Industry,negative
Industry,negative
Industry,negative
Industry,negative
Industry,negative
Industry,negative
Industry,negative
Industry,negative
Industry,negative
Industry,negative
Industry,negative
Industry,negative
Industry,negative
Industry,negative
Industry,negative
Industry,negative
Industry,negative
Industry,negative
Industry,negative
Industry,negative
Industry,negative
Industry,negative
Industry,negative
Industry,negative
Industry,negative
Industry,negative
Industry,negative
Industry,negative
Industry,negative
Industry,negative
Industry,negative
Industry,negative
Industry,negative
Industry,negative
Industry,negative
Industry,negative
Industry,negative
Industry,negative
Industry,negative
Industry,negative
Industry,negative
Industry,negative
Industry,negative
Industry,negative
Industry,negative
Industry,negative
Industry,negative
Industry,negative
Industry,negative
Industry,negative
Industry,negative
Industry,negative
Industry,negative
Industry,negative
Industry,negative
Industry,negative
Industry,negative
Industry,negative
Industry,negative
Industry,negative
Industry,negative
Industry,negative
Industry,negative
Industry,negative
Industry,negative
Industry,negative
Industry,neutral
Industry,neutral
Industry,neutral
Industry,neutral
Industry,neutral
Industry,neutral
Industry,neutral
Industry,neutral
Industry,neutral
Industry,neutral
Industry,neutral
Industry,neutral
Industry,neutral
Industry,neutral
Industry,neutral
Industry,neutral
Industry,neutral
Industry,neutral
Industry,neutral
Industry,neutral
Industry,neutral
Industry,neutral
Industry,neutral
Industry,neutral
Industry,neutral
Industry,neutral
Industry,neutral
Industry,neutral
Industry,neutral
Industry,neutral
Industry,neutral
